1 input_9_1_1 AGM6 Test Case.asc - no wind ' AGM6 ' Jan 22 2018 17:05:30
  0  0 81
time            lconv           vmach           pdynmc          VAEL1           
VAEL2           VAEL3           psiblx          thtblx          phiblx          
alppx           phipx           alphax          betax           ppx             
qqx             rrx             SBEL1           SBEL2           SBEL3           
dvbe            hbe             psivlx          thtvlx          anx             
ayx             vmass           thrust          fmasse          stmarg          
realq1          realq2          wnq             zetq            gavail          
gmax            trcond          epy             epz             thtpb           
psipb           ththb           phihb           EAHH1           EAHH2           
EAHH3           sigdpy          sigdpz          ehbe            EWBEB1          
EWBEB2          EWBEB3          EFSPB1          EFSPB2          EFSPB3          
EVBE1           EVBE2           EVBE3           ESTTC1          ESTTC2          
ESTTC3          ancomx          alcomx          all             ann             
psiobcx         thtobcx         wacl            phicomx         rrcomx          
dpx             dqx             drx             miss            MISS_P1         
MISS_P2         MISS_P3         dbt             psiplx          thtplx          
critmax         
-1.92364        -0.000197309    873.948         -0.0050121      -6957.32        
290.58          6957.32         -0.000764177    -5.65726        -0.00325467     
-0.000146074    1360            11199.5         0.00242707      0.525916        
0               0               2.69383         0.0500993       2.24453         
2.24827         0               0               0               0               
0               0               0               0               0               
0               0               0               2.17157         3.57125e-006    
4.33596e-006    -6.81764e-006   0.0073166       0.00150386      0.00218189      
0.0489095       0.0668276       -0.0886386      3.33414         -1.28661        
-2.30336        1.4179          0.184423        0.184423        1.4179          
16.9568         -6.1686         2               0               0               
9.84194e-007    0.0161622       0.000870404     0               0               
0               0               34334.2         0               0               
100             5               1               
79.133          0               1.21265         56405.5         0               
0               0               27.9294         -31.5406        -0              
0.812633        -104.515        -0.203687       -0.786681       0.115801        
-1.36964        0.16205         28946.2         7319.53         -4896.65        
389.218         4896.65         27.0085         -31.3336        -0.0491874      
0.180731        1110            0               250.005         0.677413        
0               0               4.77889         0.0587885       2.78287         
3               0               -0.00712475     0.000964012     -0.21158        
0.019323        0.213205        3.05227         0               -0.000507158    
-0.0066475      -0.0903503      0.00933769      0.624893        4.60488e-006    
3.37585e-006    -5.59969e-006   0.00935682      0.000854486     0.0021258       
0.23006         0.0477047       -0.0271527      9.10818         3.28855         
-11.7208        -2.9829         0.319854        1.06337         -9.91681        
0.883917        -12.6835        2               0               0               
-4.84901e-005   0.150046        -0.40795        0               0               
0               0               6886.14         0               0               
100             5               1               
97.354          2               1.09923         84689.7         0               
