1 input_9_1_1 AGM6 Test Case.asc  ' AGM66 ' Jan 22 2018 17:05:30
  0  0 81
time            lconv           vmach           pdynmc          VAEL1           
VAEL2           VAEL3           psiblx          thtblx          phiblx          
alppx           phipx           alphax          betax           ppx             
qqx             rrx             SBEL1           SBEL2           SBEL3           
dvbe            hbe             psivlx          thtvlx          anx             
ayx             vmass           thrust          fmasse          stmarg          
realq1          realq2          wnq             zetq            gavail          
gmax            trcond          epy             epz             thtpb           
psipb           ththb           phihb           EAHH1           EAHH2           
EAHH3           sigdpy          sigdpz          ehbe            EWBEB1          
EWBEB2          EWBEB3          EFSPB1          EFSPB2          EFSPB3          
EVBE1           EVBE2           EVBE3           ESTTC1          ESTTC2          
ESTTC3          ancomx          alcomx          all             ann             
psiobcx         thtobcx         wacl            phicomx         rrcomx          
dpx             dqx             drx             miss            MISS_P1         
MISS_P2         MISS_P3         dbt             psiplx          thtplx          
critmax         
0.317866        94.999          -0.0274175      0.313443        -0.0108142      
-1.90089        0.0357526       873.977         1.56257         -6957.28        
290.554         6957.28         0.0752864       -5.66062        -0.00248054     
-0.0258476      1360            11145.7         0.00242707      0.530791        
0               0               2.72731         0.0496665       2.23653         
2.26522         0               0               0               0               
0               0               0               0               0               
0               0               0               -3.90932        1.2657e-005     
4.3193e-006     -7.06817e-006   -0.000536189    0.001262        -0.00202786     
-0.0498758      0.01689         -0.0403175      -0.253749       2.55164         
3.14416         1.41644         0.178019        0.178019        1.41644         
21.794          -6.33756        2               0               0               
9.94189e-005    0.0208233       0.090955        0               0               
0               0               34333.7         0               0               
100             6               1               
78.536          0               1.23155         55747.7         -3.60109        
20.1031         0.103845        26.5807         -32.6869        0.0328477       
1.14282         -118.265        -0.540874       -1.00585        0.237477        
-1.43383        0.31284         29065.3         7128.72         -4898.97        
402.277         4898.97         28.656          -31.6861        -0.128069       
0.229796        1110            0               250.005         0.674337        
0               0               4.74892         0.0571663       2.69945         
3               0               -0.00693859     0.00229366      -0.196365       
0.0672172       0.207799        2.81625         0               4.31547e-005    
-0.00679694     -0.0856809      0.0281833       -5.05442        1.38844e-005    
2.24945e-006    -4.92017e-006   -0.00138092     0.000672713     -0.00178873     
-0.0769878      -0.558834       -0.52914        -5.8917         -23.2896        
-19.9256        -2.83709        0.975144        3.32341         -9.66917        
3.9543          -11.5031        2               0               0               
-0.000153702    0.341749        -0.520762       0               0               
0               0               6882.37         0               0               
100             6               1               
96.073          2               1.14274         83088.6         -1.83582        
0.654955        0.062264        33.2268         -44.9482        0.416673        
2.83787         6.64738         2.81899         0.328395        -0.412219       
0.573186        -2.35981        33333.7         9758.34         -99.8057        
389.723         99.8057         34.0286         -47.8875        1.00039         
-0.104925       1110            0               250.005         0.741128        
0               0               6.31216         0.0704567       1.81987         
3               0               0.00213746      -0.0232542      0               
0               0.061378        3.08723         0               0.0230739       
0.00405629      0               0               -3.36909        1.91603e-005    
1.43289e-005    2.38077e-006    -0.00283641     0.000747962     -0.00332123     
-0.0520453      -0.696345       -0.571851       -7.22746        -33.5203        
-29.4059        0.652785        -0.00344677     -0.00344677     0.652785        
3.9543          -11.5031        2               0               0               
-0.00380635     -1.47801        0.446524        0.313191        -0.197118       
0.243379        0               0.39595         0               0               
100             6               1               
3.002           0               0.936232        25163           -2.47986        
23.3647         0.00174787      -4.82695        -5.62175        0               
0.317393        94.7989         -0.0264507      0.315063        -0.0109085      
-1.90145        0.0464397       873.977         1.56604         -6957.28        
290.554         6957.28         0.0755336       -5.66032        -0.0023624      
-0.0257158      1360            11145.7         0.00242707      0.530788        
0               0               2.72728         0.0496665       2.23657         
2.26521         0               0               0               0               
0               0               0               0               0               
0               0               0               9.94038         -2.51671e-006   
-2.05604e-006   -3.68918e-006   0.000440912     4.30061e-005    -0.00134056     
0.0343156       0.0725695       -0.0480634      -2.09504        -3.38501        
-10.3904        1.41793         0.180067        0.180067        1.41793         
21.771          -6.33478        2               0               0               
0.000114651     0.0205073       0.0942509       0               0               
0               0               34333.7         0               0               
100             7               1               
78.464          0               1.2319          55970           -3.60697        
20.0051         0.107505        26.5972         -32.8724        -0.110845       
1.25415         -121.313        -0.651461       -1.07077        0.27091         
-1.57179        0.388692        29055.8         7093.07         -4870.57        
402.473         4870.57         28.5836         -31.7673        -0.154178       
0.246105        1110            0               250.005         0.677277        
0               0               4.77887         0.05717         2.66888         
3               0               -0.00644109     0.00252738      -0.188074       
0.0704187       0.201977        2.78781         0               2.49366e-005    
-0.00536848     -0.0828556      0.0295529       4.83386         -2.86245e-006   
-1.13225e-006   -3.92001e-006   0.000459142     0.00233154      0.000116295     
-0.116693       0.251526        -0.492805       -6.3479         10.0598         
-36.6385        -2.80953        1.05192         3.49202         -9.32668        
4.11535         -11.6046        2               0               0               
-3.34151e-005   0.402098        -0.557164       0               0               
0               0               6881.84         0               0               
100             7               1               
95.994          2               1.14139         82889.6         -1.62993        
0.735406        -0.134174       33.6639         -44.2945        0.26743         
2.93884         7.06426         2.91663         0.361277        -0.470316       
0.962892        -2.40713        33333.1         9758.12         -99.9584        
389.261         99.9584         34.5152         -47.3284        1.0334          
-0.119074       1110            0               250.005         0.742938        
0               0               6.31998         0.0704341       1.77647         
3               0               0.00529754      -0.0250189      0               
0               0.0614439       3.08147         0               0.0247283       
0.00775605      0               0               5.69562         -1.65894e-005   
-1.16278e-006   -3.5015e-006    -0.00193722     -0.00287397     -0.00655536     
-0.106649       0.27196         -0.515043       -8.4256         14.3797         
-45.2366        0.660263        -0.00371613     -0.00371613     0.660263        
4.11535         -11.6046        2               0               0               
-0.00386039     -1.55828        0.463538        0.339185        -0.253785       
0.225032        0               0.334941        0               0               
100             7               1               
3.002           0               0.936233        25163.1         -2.46801        
23.499          -0.011079       -4.82519        -5.62765        -0              
0.317456        95.5478         -0.0304656      0.313654        -0.00962042     
-1.90169        0.05325         873.977         1.57022         -6957.27        
290.555         6957.27         0.0758719       -5.6622         -0.00276086     
-0.0257566      1360            11145.7         0.00242707      0.530789        
0               0               2.72729         0.0496665       2.23657         
2.26522         0               0               0               0               
0               0               0               0               0               
0               0               0               1.37342         1.88384e-005    
3.47192e-006    -3.82212e-006   0.00543212      -0.000362311    -0.00533496     
0.00367344      0.0117803       0.0191731       -1.05525        1.36076         
24.9225         1.41599         0.179758        0.179758        1.41599         
21.846          -6.223          2               0               0               
0.000105156     0.022574        0.0918163       0               0               
0               0               34333.7         0               0               
100             8               1               
78.484          0               1.23244         55947.2         -3.386          
19.8199         -0.0540837      26.4771         -32.9427        0.0398623       
1.07586         -126.165        -0.634671       -0.86819        0.201378        
-1.47444        0.353039        29037.8         7141.03         -4881.37        
402.641         4881.37         28.7083         -31.8486        -0.149553       
0.200017        1110            0               250.005         0.67204         
0               0               4.74224         0.0572573       2.7161          
3               0               -0.00695634     0.00206942      -0.187618       
0.0655453       0.198561        2.8094          0               0.000354017     
-0.00693228     -0.0822654      0.027188        2.30986         1.8952e-005     
3.44402e-006    -3.49086e-006   0.00230584      -0.00201979     -0.00600652     
0.895086        -0.335542       -0.360101       38.8418         -11.3259        
17.7972         -2.83426        0.983341        3.21317         -9.26123        
4.02683         -11.2373        2               0               0               
0.000283988     0.37046         -0.460722       0               0               
0               0               6882.08         0               0               
100             8               1               
96.007          2               1.14207         82989.5         -1.96378        
0.622871        0.179734        32.0491         -44.3463        0.606363        
3.09188         12.9936         3.01286         0.694867        -0.84497        
1.06994         -3.04436        33333.2         9758.26         -99.8506        
389.474         99.8506         33.365          -47.4826        1.07806         
-0.251679       1110            0               250.005         0.746134        
0               0               6.35569         0.0703668       1.70567         
3               0               0.00609585      -0.0316077      0               
0               0.0616066       3.03016         0               0.0306698       
0.00962059      0               0               2.35617         2.23937e-005    
7.8082e-006     -2.1627e-006    0.00103866      0.000853501     -0.00124521     
1.09005         -0.466616       -0.461992       55.9071         -17.7301        
10.3321         0.659439        -0.00563833     -0.00563833     0.659439        
4.02683         -11.2373        2               0               0               
-0.00506154     -1.59601        0.691059        0.437016        -0.323578       
0.293736        0               0.450269        0               0               
100             8               1               
3.002           0               0.936231        25162.9         -2.44791        
23.737          -0.0251359      -4.82741        -5.61542        0               
0.326643        94.0693         -0.0223812      0.314593        -0.0106126      
-1.89927        0.0650997       873.978         1.56218         -6957.3         
290.553         6957.3          0.0745575       -5.65804        -0.0020909      
-0.0268213      1360            11145.7         0.00242707      0.530842        
0               0               2.72778         0.0496663       2.23573         
2.2652          0               0               0               0               
0               0               0               0               0               
0               0               0               6.12089         -1.01257e-005   
1.71742e-006    -6.11044e-007   0.0101513       0.00114969      0.0027853       
0.0238785       0.0519713       -0.0128813      2.69672         1.99021         
2.58148         1.4142          0.177182        0.177182        1.4142          
21.6081         -6.35921        2               0               0               
0.000121306     0.017057        0.0864972       0               0               
0               0               34333.7         0               0               
100             9               1               
78.562          0               1.23191         55829.9         -3.81841        
20.2688         0.287381        26.3654         -32.9994        -0.112608       
1.18788         -124.819        -0.676486       -0.972542       0.246853        
-1.46141        0.397559        29078.3         7095.84         -4891.67        
402.363         4891.67         28.4816         -31.869         -0.159605       
0.223991        1110            0               250.005         0.675462        
0               0               4.76039         0.0571553       2.68716         
3               0               -0.00707363     0.00240793      -0.189479       
0.0747064       0.203084        2.76883         0               0.000671206     
-0.00807896     -0.0819103      0.0319462       0.960248        -8.45383e-006   
-2.70101e-008   5.09495e-007    0.0136515       0.00218498      0.0036298       
0.271344        0.568026        0.306459        8.43805         26.4915         
8.93004         -2.77552        1.13863         3.77341         -9.19808        
4.35006         -11.5856        2               0               0               
0.000194266     0.401969        -0.512857       0               0               
0               0               6882.1          0               0               
100             9               1               
96.089          2               1.14255         83060.2         -1.85609        
0.655066        0.0787913       33.2602         -44.4315        0.42502         
3.16812         13.1092         3.08592         0.718253        -0.895048       
1.41411         -3.0592         33333.5         9758.39         -99.8075        
389.665         99.8075         34.6339         -47.6354        1.10584         
-0.262905       1110            0               250.005         0.748162        
0               0               6.37917         0.0703261       1.67006         
3               0               0.0104165       -0.032309       0               
0               0.0618725       3.02741         0               0.030868        
0.0144377       0               0               -3.1374         -3.47526e-006   
1.31561e-005    8.91906e-006    0.014632        -8.76407e-005   0.00428941      
0.346082        0.67606         0.547225        14.0825         37.1268         
16.3909         0.658318        -0.00585508     -0.00585508     0.658318        
4.35006         -11.5856        2               0               0               
-0.0051584      -1.6523         0.699444        0.473123        -0.390092       
0.267719        0               0.482961        0               0               
100             9               1               
3.002           0               0.93623         25162.9         -2.49775        
23.1554         0.0160688       -4.8209         -5.6142         0               
0.31422         93.977          -0.0215217      0.309561        -0.00960907     
-1.90054        0.0466703       873.978         1.57069         -6957.3         
290.553         6957.3          0.0760471       -5.65768        -0.00194944     
-0.0257445      1360            11145.7         0.00242707      0.530769        
0               0               2.72709         0.0496665       2.23684         
2.2652          0               0               0               0               
0               0               0               0               0               
0               0               0               0.126848        5.83481e-006    
-8.81038e-006   -1.77567e-006   -0.00595527     -0.00130599     0.00349086      
-0.118846       -0.00749711     0.0762925       2.04911         4.63505         
-8.37887        1.41834         0.179411        0.179411        1.41834         
21.7303         -6.33971        2               0               0               
0.00011679      0.0165647       0.0849819       0               0               
0               0               34333.7         0               0               
100             10              1               
78.664          0               1.23045         55445.8         -3.53759        
20.114          0.0797864       26.2602         -32.7108        -0.0685567      
1.08542         -124.713        -0.61776        -0.891638       0.212583        
-1.45002        0.397452        29115.1         7105.54         -4929.35        
401.762         4929.35         28.4869         -31.6369        -0.144381       
0.203279        1110            0               250.005         0.673099        
0               0               4.72686         0.0571265       2.71602         
3               0               -0.00719185     0.00263474      -0.201676       
0.0774197       0.215548        2.78114         0               -8.36201e-005   
-0.00787434     -0.0878288      0.0328098       3.52938         6.15773e-006    
-9.87109e-006   -4.49075e-007   -0.00357407     -0.00110783     0.0042115       
-0.985777       -0.0909691      0.33037         -45.7071        1.8338          
2.66746         -2.79506        1.08979         3.85958         -9.89889        
4.27688         -11.7123        2               0               0               
0.000359584     0.368396        -0.472557       0               0               
0               0               6882.77         0               0               
100             10              1               
96.214          2               1.14389         83255.7         -1.68944        
0.719821        -0.0810926      33.4405         -45.1858        0.512397        
3.17936         14.079          3.08423         0.773084        -0.999162       
1.5328          -3.14178        33334.1         9758.62         -99.7361        
390.137         99.7361         34.9146         -48.3895        1.10857         
-0.285411       1110            0               250.005         0.747986        
0               0               6.38646         0.0703142       1.66227         
3               0               0.0117621       -0.034536       0               
0               0.0598916       3.02104         0               0.0328537       
0.0149983       0               0               -1.73882        6.2758e-006     
8.8125e-007     7.16877e-006    -0.00141578     0.000127015     0.000248244     
-1.16097        -0.166703       0.450915        -64.1662        -0.0972321      
9.9461          0.651581        -0.00631542     -0.00631542     0.651581        
4.27688         -11.7123        2               0               0               
-0.00550444     -1.65192        0.73236         0.50501         -0.42275        
