1 input_SAM_RF_AC_Radar_#3.asc ' SAM vs AC ' Feb 14 2018 11:31:41
  0  0 99
time            lconv           msl_time        mach            pdynmc          
psiblx          thtblx          phiblx          alppx           phipx           
alphax          betax           ppx             qqx             rrx             
SBEL1           SBEL2           SBEL3           dvbe            alt             
psivlx          thtvlx          anx             ayx             mass            
thrust          xcg             ai11            ai33            stmarg_pitch    
realq1          realq2          wnq             zetq            realp           
gavail          gmax            wnr             stmarg_yaw      realr1          
realr2          prreal          dbtk            epy             dta             
epz             thtpbx          psipbx          sigdy           sigdz           
thtvlcx         psivlcx         phiblcx         ancomx          alcomx          
gnav_comp       allx            annx            gn              dcvel           
psiflx          ip_sltrange     dvtbc           wacl            pacl            
wrcl            zrate           wnlagr          ancomx_test     alcomx_test     
dpx             dqx             drx             delx1           delx2           
delx3           delx4           miss            MISS1           MISS2           
MISS3           mode            dbt             psiptx          thtptx          
etax            zetx            aztbx           eltbx           dab             
ddab            snr_db          onax            epsic           ethtc           
psisb           thtsb           lamdqb          lamdrb          
-0.355489       1.89156         0.496583        -1.14371        -2.14722        
-9725.72        -1927.42        -4106.11        664.005         4106.11         
179.537         12.9913         -0.451367       -2.34999        191.12          
5888.02         2.39336         2.02616         213.288         1.29348         
-2.52253        -213.723        0               0               -107.273        
47.0675         50              0               1.29443         -2.45527        
-213.755        -108.105        6924.55         0               1               
0               0               0               0               0               
13.0007         179.538         0.175563        1.19462         -5.64006        
2084.87         -5.64006        1.19462         2.8             0               
0               6921.51         0               1.00901         397.957         
85.818          1.1034          6.92359         0               0               
-0.248771       0.37726         1.88468         -1.63591        0.626031        
2.13345         -0.128489       0               0               0               
0               140731          6923.89         0               0               
0               0               2.16639         -5.21524        6923.79         
-744.597        34.823          0.107567        -0.00185842     -0.000266266    
0.0395033       -0.0910384      0.000930136     -0.0264947      8               1               
108.775         2               29.877          2.01394         153471          
154.836         7.60683         -0.387275       4.72855         -63.9391        
2.08119         -4.24686        -1.91491        3.80319         10.6794         
-15699.1        555.802         -4999.16        645.564         4999.16         
150.577         5.47938         2.53731         4.99338         170.246         
6100.29         2.33074         1.91135         219.902         1.36698         
-2.57643        -182.544        0               0               -101.67         
42.9233         50              0               1.43742         -2.58154        
-182.509        -92.5453        2.05605         0               1               
0               0               0               0               0               
5.49699         150.57          -0.36491        25.1315         43.2251         
1441.33         429.889         249.942         2.8             0               
0               6921.51         0               1.03057         348.07          
81.3356         1.1034          6.92359         0               0               
0.512002        -2.31219        -4.87302        4.36102         -2.82419        
-5.38503        1.80019         2.18251         0.851735        -2.00945        
0               140731          2.20561         102.866         -84.5847        
0               0               90.0326         25.9292         2.76132         
-514.762        170.796         37.8446         0.552016        0.362706        
0.346889        -0.0134417      1.70706         2.75068         8               1               
83.899          0               5.001           1.42135         134871          
-160            29.9908         -0.0143714      1.24176         -0.0133713      
1.24176         -0.00028977     -0.100229       -0.512585       -0.000205635    
-936.276        -340.775        -508.152        481.004         508.152         
-160            28.75           1.01213         0.000242237     238.736         
31579           2.61244         2.47492         289.97          0.406515        
-1.36459        -119.441        0               0               -155.345        
48.9175         50              0               0.168561        -1.13786        
-119.646        -60.3921        18164.8         0               1               
0               0               0               0               0               
28.7472         -159.988        0.000810285     0.555718        -1.41924        
0               -1.41924        0.555718        0               0               
-163.424        18159.8         0               0.545837        247.105         
124.276         1.1034          6.92366         0               0               
-0.00181274     -0.239235       -1.7441e-005    0.00183018      -0.237422       
0.00179529      0.241048        0               0               0               
0               122031          18164.3         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               9               1               
98.334          0               19.436          2.04758         178806          
177.593         12.6074         0.160713        1.91557         100.493         
-0.348992       1.88352         0.494782        -1.14931        -2.13761        
-9727.9         -1925.42        -4092.11        663.864         4092.11         
179.527         12.944          -0.443267       -2.34203        191.128         
5884.53         2.39338         2.0262          213.297         1.29447         
-2.52485        -213.974        0               0               -107.435        
47.0785         50              0               1.29541         -2.45754        
-214.006        -108.232        6924.54         0               1               
0               0               0               0               0               
12.9464         179.533         0.17445         -2.81386        -2.09237        
2085.1          -2.09237        -2.81386        2.8             0               
0               6926.12         0               1.00994         398.358         
85.9479         1.1034          6.92366         0               0               
-0.247626       0.371459        1.8773          -1.62967        0.619085        
2.12493         -0.123833       0               0               0               
0               140731          6923.88         0               0               
0               0               2.19113         -5.05715        6925.09         
-744.678        34.8182         0.196938        -0.00338106     -0.000618803    
0.0411643       -0.087651       -0.0177911      -0.00981858     9               1               
108.765         2               29.867          2.01784         154066          
154.065         7.70657         -0.327353       4.10534         -61.5497        
1.95836         -3.60884        -1.43855        5.6861          8.17821         
-15700.2        552.552         -4999.13        646.814         4999.13         
150.445         5.71173         2.32942         4.26346         170.266         
6100.28         2.3308          1.91146         219.894         1.41728         
-2.62058        -182.911        0               0               -101.728        
43.8364         50              0               1.44474         -2.59019        
-182.913        -92.7517        1.32062         0               1               
0               0               0               0               0               
5.71835         150.44          -0.313042       36.9847         33.6472         
643.774         312.281         343.256         2.8             0               
0               6926.12         0               1.04823         348.657         
81.3822         1.1034          6.92366         0               0               
0.437177        -2.40362        -4.11153        3.67435         -2.8408         
-4.5487         1.96644         1.37353         0.892255        -1.04426        
0               140731          1.43416         102.712         -84.3495        
0               0               79.5758         43.815          1.70663         
