1 input_SAM_RF_AC_Radar_#1_#2_#3.asc  Feb 14 2018 11:31:38
  0  0 99
time            lconv           msl_time        mach            pdynmc          
psiblx          thtblx          phiblx          alppx           phipx           
alphax          betax           ppx             qqx             rrx             
SBEL1           SBEL2           SBEL3           dvbe            alt             
psivlx          thtvlx          anx             ayx             mass            
thrust          xcg             ai11            ai33            stmarg_pitch    
realq1          realq2          wnq             zetq            realp           
gavail          gmax            wnr             stmarg_yaw      realr1          
realr2          prreal          dbtk            epy             dta             
epz             thtpbx          psipbx          sigdy           sigdz           
thtvlcx         psivlcx         phiblcx         ancomx          alcomx          
gnav_comp       allx            annx            gn              dcvel           
psiflx          ip_sltrange     dvtbc           wacl            pacl            
wrcl            zrate           wnlagr          ancomx_test     alcomx_test     
dpx             dqx             drx             delx1           delx2           
delx3           delx4           miss            MISS1           MISS2           
MISS3           mode            dbt             psiptx          thtptx          
etax            zetx            aztbx           eltbx           dab             
ddab            snr_db          onax            epsic           ethtc           
psisb           thtsb           lamdqb          lamdrb          
-898.172        34.8602         0.0282269       0.000108218     -0.000480619    
-0.0021211      -0.199383       -0.0320455      0.0232988       6               1               
75.83           2               25.109          2.61018         126462          
-89.2685        35.58           -0.0753886      3.03978         -16.2278        
2.91888         -0.849118       -3.13333        11.1678         3.7774          
-2.10715        -11044.5        -9996.2         781.89          9996.2          
-90.2756        32.6461         2.73305         0.825291        179.782         
6964.98         2.35935         1.9638          216.087         1.20857         
-2.07984        -131.181        0               0               -53.8771        
46.4914         50              0               0.971701        -1.83562        
-131.426        -66.631         4.89911         0               1               
0               0               0               0               0               
32.6322         -90.2809        -0.101889       -35.9745        -34.7251        
-242.696        -184.218        -190.846        3.1             0               
0               6908.42         0               0.831936        265.89          
43.1016         1.05769         6.69563         0               0               
0.0840616       -3.9099         -0.971305       0.887244        -3.99396        
-1.05537        3.82583         4.7992          4.31539         -2.09994        
0               140731          4.77777         179.8           -65.0927        
0               0               56.8481         58.7585         4.69308         
78.2889         161.583         123.377         1.49754         1.54734         
0.0283693       -0.0845688      7.73466         7.44088         6               1               
55.734          0               5.002           1.40247         127709          
-90.0006        44.9328         0.000810285     1.06742         0.00575233      
1.06742         0.000107159     0.100332        -0.431547       -2.1614e-005    
-0.00346428     -808.646        -739.64         473.361         739.64          
-90.0005        43.8662         0.822772        -8.50767e-005   238.723         
31661.1         2.61238         2.47485         289.94          0.399867        
-1.31587        -113.534        0               0               -151.431        
49.1211         50              0               0.169028        -1.09545        
-113.733        -57.4141        17848.6         0               1               
0               0               0               0               0               
43.8819         -90.0169        -0.000810285    5.62517         0.00462449      
0               0.00462449      5.62517         0               0               
-90.0064        17852.8         0               0.526348        237.655         
121.145         1.05769         6.69587         0               0               
0.00175998      -0.199095       4.41714e-006    -0.0017644      -0.200855       
-0.00175557     0.197335        0               0               0               
0               122031          17848.1         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               7               1               
68.542          0               17.81           2.21085         141270          
-89.9692        37.4301         0.000810285     1.37301         -179.876        
-1.37301        -0.00296064     0.0318888       -1.41461        0.00114945      
2.03605         -6656.5         -6968.69        690.761         6968.69         
-89.9729        38.8028         -1.34081        0.00294131      194.38          
6501.14         2.40314         2.04409         217.037         1.32351         
-2.22754        -161.105        0               0               -76.3901        
48.3497         50              0               1.07139         -1.95771        
-161.36         -81.6588        6909.22         0               1               
0               0               0               0               0               
38.8219         -89.9895        0.000810285     -3.50438        10.7054         
2784.92         10.7054         -3.50438        3.1             0               
0               6916.25         0               0.891015        313.768         
61.112          1.05769         6.69587         0               0               
-0.000835245    1.52823         -0.00277996     0.00361521      1.52906         
-0.00194472     -1.52739        0               0               0               
0               140731          6908.55         0               0               
0               0               -0.0444736      -11.403         6910.87         
-898.36         34.8557         0.0216524       -0.000294451    0.000236877     
-0.00048268     -0.199099       -0.0148406      0.0376977       7               1               
75.835          2               25.103          2.60675         126144          
-87.8829        36.0177         -0.187325       3.50994         -22.7396        
3.23772         -1.35602        -2.71367        11.9444         3.32753         
-0.307603       -11043.5        -9995.49        780.87          9995.49         
-89.4853        32.755          3.05691         1.34555         179.794         
6964.89         2.35938         1.96387         216.082         1.17044         
-2.04197        -131.032        0               0               -53.887         
45.95           50              0               0.950344        -1.81525        
-131.26         -66.5376        5.18242         0               1               
0               0               0               0               0               
32.7709         -89.503         -0.191153       45.7927         20.0756         
666.695         186.729         425.931         3.1             0               
0               6916.25         0               0.816788        265.651         
43.1096         1.05769         6.69587         0               0               
0.134624        -4.17125        -1.36854        1.23392         -4.30588        
-1.50317        4.03663         5.04689         5.03659         -0.322219       
0               140731          5.03413         -179.627        -65.0162        
0               0               13.2101         70.9075         5.91816         
-215.063        157.554         78.0485         0.551099        1.24575         
-0.00248445     -0.0868513      6.22918         2.74665         7               1               
55.723          0               5.002           1.40247         127709          
-90.0012        44.933          0.0103328       1.06744         0.0213953       
1.06744         0.000398579     -0.0119849      -0.431515       -8.2191e-005    
-0.00691889     -808.645        -739.641        473.361         739.641         
-90.001         43.8663         0.822789        -0.000312465    238.723         
31661.1         2.61238         2.47485         289.94          0.399851        
-1.31586        -113.534        0               0               -151.431        
49.1211         50              0               0.169027        -1.09545        
-113.733        -57.4141        17851           0               1               
0               0               0               0               0               
43.8277         -90.0053        -0.000810285    5.57462         -0.00778898     
0               -0.00778898     5.57462         0               0               
-89.9993        17837           0               0.526343        237.655         
121.145         1.05769         6.69577         0               0               
0.00354186      -0.199103       2.82013e-005    -0.00357006     -0.202645       
-0.00351365     0.195561        0               0               0               
0               122031          17850.5         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               8               1               
68.535          0               17.814          2.21096         141217          
-90.0117        37.4448         0.0142046       1.37196         179.923         
-1.37196        0.00183517      -0.0289212      -1.41185        -0.0103909      
-1.67283        -6656.52        -6972.02        690.764         6972.02         
-90.0089        38.8165         -1.33927        -0.00184491     194.372         
6501.74         2.40312         2.04405         217.028         1.32364         
-2.22732        -161.052        0               0               -76.3602        
48.3515         50              0               1.07154         -1.95752        
-161.307        -81.6323        6909.32         0               1               
0               0               0               0               0               
38.7807         -90.0171        0.000810285     5.13818         6.33105         
2784.53         6.33105         5.13818         3.1             0               
0               6892.18         0               0.890927        313.683         
61.0882         1.05769         6.69577         0               0               
-0.000567571    1.52736         0.00153045      -0.000962878    1.52793         
0.00209802      -1.52679        0               0               0               
0               140731          6908.65         0               0               
0               0               0.0279746       -11.4488        6909.45         
-898.235        34.8581         0.0347737       -0.000606784    1.26201e-005    
0.000874238     -0.199866       0.0149984       0.0222972       8               1               
75.831          2               25.11           2.60571         125989          
-91.5751        35.66           0.16351         2.92296         26.0432         
2.62661         1.28287         5.06381         7.43006         -6.04455        
2.09576         -11043.9        -9998.33        780.528         9998.33         
-90.048         33.0143         2.47692         -1.22909        179.78          
6965.25         2.35934         1.96379         216.088         1.17693         
-2.04718        -130.909        0               0               -53.87          
46.6344         50              0               0.994967        -1.85324        
